name,task,channel,avg,slope,variance,skewness,kurtosis,max,min,sum
name_1,B,13,-0.001140598,-3.06207E-05,6.71449E-07,0.046749634,1.628970708,0.000142304,-0.002370759,-0.104935025
name_1,B,14,-0.001308381,-3.57033E-05,9.36306E-07,0.092669716,1.43559931,8.3574E-05,-0.00252354,-0.120371088
name_1,B,15,-0.001302859,-3.32305E-05,8.01499E-07,0.214920855,1.606138621,0.000204114,-0.002442216,-0.119862992
name_1,C,1,-0.000362356,-2.19082E-05,4.81871E-07,-0.738810674,2.024449611,0.000350757,-0.001703429,-0.033336756
name_1,C,2,-0.001257953,-4.47358E-05,1.54182E-06,-0.389065608,1.527465339,2.89381E-05,-0.003249453,-0.115731657
name_1,C,3,-0.000868825,-1.9825E-05,3.46496E-07,0.397571922,1.516113082,2.4464E-05,-0.001532696,-0.079931867
name_1,C,4,-0.001153217,-1.8296E-05,5.20835E-07,0.452545594,1.852992488,0.00010916,-0.002029117,-0.106095955
name_1,C,5,8.62744E-05,-1.35656E-05,3.79331E-07,-0.508808564,2.059926866,0.000848795,-0.001105992,0.007937242
name_1,C,6,-0.000359821,-1.11865E-05,1.03895E-07,0.098000695,1.299219488,7.64789E-05,-0.000747229,-0.033103516
name_1,C,7,-0.000419696,-1.40557E-05,1.51734E-07,-0.222207413,1.371458315,1.74904E-05,-0.000964677,-0.038612053
name_1,C,8,-0.000229308,-9.75048E-06,8.15278E-08,-0.318039882,1.418017085,9.68836E-05,-0.000642721,-0.021096366
name_1,C,9,-0.000185715,-7.22879E-06,4.51207E-08,-0.099457977,1.328536313,8.40847E-05,-0.000465032,-0.01708579
name_1,C,10,-0.000479987,-9.65601E-06,8.64924E-08,0.617473604,1.890626212,7.67364E-05,-0.000795259,-0.044158811
name_1,C,11,6.89509E-05,-7.16431E-06,1.11673E-07,-0.282496294,1.745889943,0.00050624,-0.000478253,0.006343483
name_1,C,12,-0.000801688,-1.63393E-05,2.54406E-07,0.538717009,1.75478385,6.74539E-05,-0.001358784,-0.073755337
name_1,C,13,-0.000445006,-1.25066E-05,1.2625E-07,0.125758364,1.31266707,2.74946E-05,-0.000876274,-0.04094059
name_1,C,14,-0.000617975,-1.93261E-05,2.97229E-07,-0.041928687,1.279390571,4.27911E-05,-0.00132156,-0.05685374
name_1,C,15,-0.000354138,-1.39639E-05,1.57244E-07,-0.44617233,1.58700773,6.90835E-05,-0.001007267,-0.032580651
name_2,A,1,-9.37229E-05,-1.2351E-05,1.93587E-07,-0.546007983,1.954968959,0.000423575,-0.000940513,-0.008622502
name_2,A,2,-0.000816427,-3.55855E-05,1.08274E-06,-0.736702389,1.976800363,0.000147007,-0.002860587,-0.075111294
name_2,A,3,-0.00133207,-5.948E-05,3.22568E-06,-1.020799106,2.547897733,0.000154091,-0.005423778,-0.1225504
name_2,A,4,-0.000311889,-1.37523E-05,1.60649E-07,-0.580772815,1.747997998,9.80826E-05,-0.001030198,-0.028693744
name_2,A,5,-0.000541816,-2.21433E-05,4.14524E-07,-0.846330332,2.190750064,5.41852E-05,-0.001886942,-0.049847096
name_2,A,6,-0.000435281,-1.63951E-05,2.28353E-07,-0.990564521,2.600308326,0.000110971,-0.001537682,-0.04004584
name_2,A,7,-0.000252871,-1.12652E-05,1.0859E-07,-0.628658488,1.804243508,7.53567E-05,-0.000857338,-0.023264111
name_2,A,8,-0.000354045,-1.23858E-05,1.20976E-07,-0.807836926,2.360978096,4.29741E-05,-0.001135924,-0.03257215
name_2,A,9,-0.000312213,-1.20075E-05,1.24094E-07,-1.062107909,2.781102298,5.06668E-05,-0.001163675,-0.028723619
name_2,A,10,-0.00014176,-8.99858E-06,8.31162E-08,-0.821668164,2.243040575,0.000149397,-0.000753484,-0.013041955
name_2,A,11,-0.000177092,-6.66398E-06,4.09571E-08,-1.261297807,3.357560629,5.26308E-05,-0.000710951,-0.016292502
name_2,A,12,-9.568E-05,-3.85123E-06,1.68961E-08,-1.568661963,4.28485808,4.24672E-05,-0.000477889,-0.008802556
name_2,A,13,-0.000403602,-1.34034E-05,1.3639E-07,-0.632134538,2.093771875,4.96873E-05,-0.001174892,-0.037131355
name_2,A,14,-0.000298242,-8.4438E-06,5.35577E-08,-0.493249474,2.42794194,9.01219E-05,-0.000796022,-0.027438293
name_2,A,15,-0.000185722,-8.78679E-06,7.57473E-08,-1.286863429,3.324324268,1.56988E-05,-0.000917659,-0.017086394
name_2,C,1,0.000185074,4.27965E-06,1.34921E-08,-0.407540678,2.414100281,0.000386826,-7.69346E-05,0.017026807
name_2,C,2,-0.000169153,-1.0581E-05,1.12782E-07,-0.429324031,1.631846033,0.000221737,-0.000700574,-0.015562106
name_2,C,3,-0.000578428,-2.89796E-05,7.61185E-07,-0.644166714,1.862743829,0.000320084,-0.002189244,-0.053215339
name_2,C,4,-8.84968E-05,-1.02434E-05,1.36001E-07,-0.791324479,2.277076196,0.00030747,-0.000846477,-0.00814171
name_2,C,5,-0.000498314,-1.93313E-05,2.98698E-07,-0.569270855,1.763457087,4.59271E-05,-0.001495897,-0.045844888
name_2,C,6,-0.000587381,-1.9981E-05,3.01281E-07,-0.384679651,1.598608595,7.24986E-06,-0.001512853,-0.054039023
name_2,C,7,-0.000452504,-1.96634E-05,3.274E-07,-0.480118231,1.602372517,0.000158457,-0.001375582,-0.041630353
name_2,C,8,-0.000248546,-7.55584E-06,4.46801E-08,-0.779822628,2.726239295,6.41662E-05,-0.000751438,-0.022866217
name_2,C,9,-0.000364613,-1.03391E-05,7.65771E-08,-0.142116864,1.704723642,5.45481E-05,-0.000832039,-0.033544415
name_2,C,10,-0.000798923,-2.5544E-05,5.01854E-07,-0.087386626,1.324679464,6.38663E-05,-0.0017262,-0.073500889
name_2,C,11,-0.000401595,-1.51958E-05,1.83506E-07,-0.641929846,1.885110249,5.70073E-06,-0.001221228,-0.036946729
name_2,C,12,-0.000313814,-1.06462E-05,8.54514E-08,-0.474669512,1.755145626,3.24386E-06,-0.000851057,-0.028870911
name_2,C,13,-0.000676508,-2.58424E-05,5.2991E-07,-0.477386362,1.634584433,8.09785E-05,-0.001914793,-0.062238694
name_2,C,14,-0.000691467,-1.53723E-05,1.77624E-07,0.588456121,2.071798819,0.000173054,-0.001243247,-0.063614945
name_2,C,15,-0.000279824,-9.48035E-06,6.81347E-08,-0.273659728,1.540378721,2.96975E-05,-0.0007119,-0.025743825
name_2,B,1,0.000244712,-6.70669E-07,6.40384E-08,0.000513453,1.54929422,0.000603756,-0.000158702,0.022513518
name_2,B,2,0.000797823,-1.0156E-05,1.0189E-06,-0.224328845,1.667905038,0.002119054,-0.001018354,0.07339971
name_2,B,3,-0.000264703,-1.65999E-05,2.78871E-07,-0.404783289,1.585631693,0.000359501,-0.001077914,-0.024352717
name_2,B,4,-8.44241E-05,-8.16959E-06,8.08735E-08,-0.235768296,1.543365249,0.000283082,-0.000507435,-0.007767016
name_2,B,5,0.000144987,-8.78634E-06,1.97276E-07,-0.187855305,1.658351619,0.000739217,-0.000567,0.013338817
name_2,B,6,0.000175949,-3.73523E-06,7.13686E-08,0.126359364,1.47159139,0.000568073,-0.000218303,0.016187268
name_2,B,7,-0.000186263,-9.21604E-06,9.01637E-08,-0.143716121,1.448292781,0.00020676,-0.000620888,-0.017136207
name_2,B,8,-0.000288358,-8.6494E-06,5.69537E-08,-0.037614043,1.312543089,6.51615E-06,-0.000594172,-0.026528906
name_2,B,9,-0.00022694,-7.36601E-06,4.27493E-08,-0.135160112,1.289945803,5.61869E-06,-0.000503961,-0.020878504
