name,task,channel,avg,slope,variance,skewness,kurtosis,max,min,sum
name_1,B,6,-6.38408E-05,-7.54031E-06,7.63547E-09,-1.108534699,2.940857384,1.17488E-05,-0.000277889,-0.002170587
name_1,B,7,-0.000394548,-4.6379E-05,2.18223E-07,-0.393056152,1.912129352,0.000231468,-0.001294262,-0.013414641
name_1,B,8,-0.000158252,-1.86903E-05,3.48662E-08,-0.216293274,1.865007231,0.000124733,-0.000499759,-0.005380566
name_1,B,9,-0.000136784,-1.61426E-05,2.73646E-08,-0.613240319,2.120159596,5.55622E-05,-0.00048252,-0.004650652
name_1,B,10,-0.000465643,-5.4669E-05,3.01665E-07,-0.345772268,1.875143852,0.000288309,-0.001502794,-0.015831859
name_1,B,11,-0.00031992,-3.76473E-05,1.41344E-07,-0.199955208,1.830478398,0.000246502,-0.000996404,-0.010877265
name_1,B,12,-8.6127E-05,-1.03139E-05,1.49603E-08,-1.201507421,3.174149551,1.60384E-05,-0.000395672,-0.002928318
name_1,B,13,-0.000357037,-4.18618E-05,1.82571E-07,-0.55547371,2.02048348,0.000142579,-0.001222625,-0.012139246
name_1,B,14,-0.000357355,-4.18333E-05,1.82759E-07,-0.562450998,2.017061675,0.000133977,-0.001222859,-0.012150085
name_1,B,15,-0.000419622,-4.9222E-05,2.42675E-07,-0.260405858,1.827622976,0.000288598,-0.001319214,-0.014267141
name_1,C,1,-0.000216701,-2.71524E-05,7.34145E-08,0.603807891,2.042881835,0.000336426,-0.00050941,-0.007151148
name_1,C,2,-6.09297E-05,-7.71125E-06,5.59054E-09,0.191816429,1.897328853,7.48664E-05,-0.000179629,-0.002010681
name_1,C,3,0.000129505,1.60204E-05,2.62163E-08,-0.636989555,2.017980532,0.000293544,-0.000198575,0.004273679
name_1,C,4,0.000128976,1.60166E-05,2.62758E-08,-0.661425937,2.061969139,0.00029175,-0.000203936,0.00425622
name_1,C,5,-7.32631E-05,-9.28519E-06,1.1513E-08,1.055012255,2.83474666,0.000183717,-0.000171064,-0.002417683
name_1,C,6,5.78451E-05,7.14559E-06,6.03454E-09,-0.859673883,2.378394119,0.000132535,-0.000113102,0.001908889
name_1,C,7,4.91651E-05,6.02309E-06,3.4239E-09,-0.177196126,1.652554762,0.000129989,-4.7557E-05,0.00162245
name_1,C,8,1.35546E-05,1.59695E-06,7.01276E-10,1.018487103,3.073913514,8.04405E-05,-1.32078E-05,0.000447301
name_1,C,9,-5.57467E-06,-7.24684E-07,1.50342E-10,-1.41578621,4.215098707,5.49702E-06,-4.09046E-05,-0.000183964
name_1,C,10,-2.75863E-05,-3.38025E-06,2.37956E-09,-1.221379004,3.476883201,1.7941E-05,-0.000155969,-0.000910349
name_1,C,11,-6.8694E-05,-8.68893E-06,9.27238E-09,1.006634962,2.686065151,0.000156601,-0.000155373,-0.002266903
name_1,C,12,7.25115E-05,9.17151E-06,1.15186E-08,-1.050229074,2.838136927,0.000171472,-0.000184486,0.002392879
name_1,C,13,-1.26272E-05,-1.49433E-06,1.34654E-09,-0.875573917,2.848504349,2.65069E-05,-0.000104729,-0.000416698
name_1,C,14,0.000144662,1.75842E-05,3.398E-08,0.859826972,2.381599154,0.00055336,-2.55218E-05,0.004773862
name_1,C,15,0.000197614,2.43606E-05,5.61085E-08,-0.229280378,1.709830217,0.000520391,-0.000212302,0.006521247
