name,task,channel,avg,slope,variance,skewness,kurtosis,max,min,sum
name_2,C,10,0.001553834,4.15E-06,5.45E-07,-0.528093027,2.299676649,0.002616215,-0.000129901,0.78934748
name_2,C,11,0.001429093,3.56E-06,3.71E-07,-0.554497251,2.412810951,0.002243187,-0.000165845,0.725979052
name_2,C,12,0.000695234,3.62E-06,3.39E-07,0.542080683,1.941094057,0.001772328,-0.000120241,0.353178983
name_2,C,13,0.00174636,3.54E-06,4.75E-07,-0.956356105,2.789561679,0.002491088,-0.000275254,0.887150971
name_2,C,14,0.001051205,5.95E-06,8.81E-07,0.552560124,1.877902275,0.002770131,-0.000144972,0.534012205
name_2,C,15,-3.80E-05,5.52E-07,3.12E-07,0.146785027,2.239712186,0.001147543,-0.00110346,-0.019317923
name_2,B,1,0.002392312,1.96E-05,9.04E-06,0.591068302,2.118710708,0.00929758,-0.001314289,1.215294629
name_2,B,2,0.005287298,1.98E-05,8.76E-06,-0.408039021,1.959347496,0.009136609,-0.00039495,2.685947258
name_2,B,3,0.003704012,1.43E-05,4.72E-06,0.038060594,2.216419194,0.007494497,-0.000459918,1.881638004
name_2,B,4,0.002394928,8.20E-06,1.61E-06,-0.672490163,2.673654136,0.004156236,-0.000419111,1.216623194
name_2,B,5,0.004068935,1.18E-05,3.33E-06,-0.749312837,2.836867935,0.006513266,-0.000159451,2.06701903
name_2,B,6,0.003402581,8.69E-06,2.05E-06,-0.915647453,3.476178916,0.005604137,-0.000200493,1.728510904
name_2,B,7,0.00302609,1.07E-05,2.66E-06,-0.174790418,2.265215706,0.005708654,-0.000323867,1.53725379
name_2,B,8,0.002987164,1.35E-05,4.00E-06,-0.040637297,1.631976387,0.005821051,-0.000308508,1.517479518
name_2,B,9,0.002698688,1.16E-05,3.05E-06,0.10246787,1.934502031,0.005639242,-0.000346264,1.370933561
name_2,B,10,0.003588382,1.31E-05,3.92E-06,-0.173409394,1.977640464,0.006418541,-0.000323143,1.822898077
name_2,B,11,0.003457865,1.24E-05,3.58E-06,-0.35592876,2.504364881,0.006562729,-0.000441032,1.75659518
name_2,B,12,0.001905321,1.49E-05,5.34E-06,0.777048801,2.465995524,0.006787623,-0.001071717,0.967903037
name_2,B,13,0.00335084,9.11E-06,2.29E-06,-1.175971992,3.71485984,0.005328108,-0.000537181,1.702226633
name_2,B,14,0.002950196,1.41E-05,4.53E-06,0.418409098,1.938329541,0.006785295,-0.000234337,1.498699535
name_2,B,15,0.002532617,1.45E-05,4.90E-06,0.25530031,1.374620364,0.005967205,-8.58E-05,1.286569192
name_3,B,1,0.003157287,-1.18E-06,6.97E-06,0.728968503,2.817403716,0.009664006,-0.000993989,1.603901782
name_3,B,2,0.004634305,6.88E-06,3.54E-06,-0.379618457,2.866869547,0.007837914,-0.000110276,2.354227035
name_3,B,3,0.002114126,3.40E-06,8.68E-07,-0.178558154,2.425551807,0.003974843,-0.000167648,1.073975973
name_3,B,4,0.001386765,1.25E-06,5.06E-07,0.319708818,2.344195522,0.002897608,-0.000121817,0.704476515
name_3,B,5,0.002264651,2.73E-06,1.04E-06,-0.432886558,2.347888355,0.003920841,-0.000149608,1.150442551
name_3,B,6,0.003242923,5.12E-06,1.09E-06,-1.485953881,5.127239495,0.004491338,-0.000101081,1.647405073
